x,y,class
1.705,-1.239,0
1.674,0.155,0
-4.962,-1.299,1
-5.107,-0.109,1
-5.490,1.198,1
-5.914,1.404,1
-4.203,0.385,1
-6.708,-0.909,1
-6.207,2.948,1
-6.037,-0.468,1
-3.382,0.715,1
-3.329,2.791,1
-5.806,-0.893,1
-2.970,-0.564,1
-6.208,-0.656,1
-3.181,2.377,1
-4.991,0.029,1
-5.628,1.594,1
-4.359,0.625,1
-5.366,0.887,1
-6.658,-0.560,1
-5.869,-2.162,1
-6.127,1.131,1
-3.855,2.527,1
-4.443,0.291,1
-5.954,0.016,1
-5.785,-1.230,1
-5.382,-0.058,1
-4.477,-1.187,1
-4.460,0.381,1
-5.806,-1.661,1
-5.603,0.698,1
-5.763,-0.872,1
-4.365,2.098,1
-4.448,-0.224,1
-5.462,1.722,1
-4.237,0.557,1
-4.325,1.235,1
-4.844,-1.658,1
-5.049,1.584,1
-5.161,0.230,1
-5.429,-1.900,1
-4.634,1.401,1
-4.655,1.088,1
-7.090,-0.834,1
-5.062,-0.412,1
-5.837,0.095,1
-6.300,0.007,1
-5.960,1.119,1
-4.247,-1.286,1
-4.047,0.286,1
-5.159,0.375,1
-4.666,-2.130,1
-5.965,-0.121,1
-5.856,0.397,1
-6.657,-0.687,1
-3.922,-1.136,1
-6.699,0.378,1
-5.662,-1.791,1
-6.760,1.825,1
-6.389,-0.800,1
-6.312,1.115,1
-6.817,-0.202,1
-5.812,1.032,1
-4.423,1.274,1
-6.049,-0.916,1
-6.295,-0.966,1
-6.530,0.130,1
-3.186,-0.029,1
-3.936,0.421,1
-7.310,0.805,1
-6.908,-0.054,1
-5.369,-0.201,1
-5.744,-0.826,1
-3.792,-1.633,1
-3.698,-1.183,1
-5.127,0.631,1
-6.354,0.724,1
-4.990,1.781,1
-5.189,-1.555,1
-4.532,0.105,1
-4.314,-0.186,1
-6.305,-0.026,1
-3.615,-0.838,1
-4.478,1.188,1
-4.401,0.243,1
-5.887,1.446,1
-3.625,1.238,1
-3.596,1.691,1
-6.424,-0.635,1
-4.020,0.672,1
-3.586,1.216,1
-5.952,-0.659,1
-2.874,-2.095,1
-6.504,1.148,1
-5.640,0.699,1
-5.851,-0.668,1
-4.104,0.256,1
-5.255,0.246,1
-5.710,1.825,1
-5.305,1.416,1
-5.931,-1.325,1
-5.447,1.117,1
-6.323,-0.369,1
-5.132,0.725,1
-4.943,0.124,1
-5.673,0.939,1
-4.789,-1.111,1
-6.521,-0.468,1
-6.411,-0.927,1
-7.172,0.094,1
-4.952,0.368,1
-6.632,1.311,1
-6.246,1.406,1
-6.058,2.871,1
-4.686,-1.958,1
-5.506,-0.787,1
-7.779,-0.261,1
-4.924,1.180,1
-4.243,-2.985,1
-5.150,0.004,1
-5.585,-1.721,1
-5.129,0.746,1
-6.981,0.516,1
-6.298,0.384,1
-5.213,0.757,1
-6.722,0.303,1
-6.074,-0.677,1
-6.662,-0.855,1
-4.673,-0.171,1
-7.519,-1.024,1
-6.105,0.455,1
-4.196,1.326,1
-4.401,0.946,1
-5.299,2.265,1
-5.938,0.228,1
-5.447,-0.864,1
-5.099,0.053,1
-4.894,1.645,1
-4.942,-0.560,1
-5.373,-0.663,1
-6.248,0.398,1
-4.587,1.355,1
-5.042,1.066,1
-5.594,1.076,1
-4.896,0.787,1
-4.430,0.552,1
-4.755,-0.008,1
-5.038,1.626,1
-3.653,1.645,1
-5.432,-0.418,1
-5.644,0.418,1
-6.285,0.611,1
-5.728,-0.513,1
-5.375,1.286,1
-5.933,-0.315,1
-5.011,0.112,1
-4.795,1.593,1
-5.650,2.370,1
-6.147,0.278,1
-5.676,-0.633,1
-4.086,1.026,1
-3.889,0.014,1
-5.598,1.357,1
-5.643,1.401,1
-5.432,2.323,1
-5.027,2.574,1
-4.243,0.393,1
-4.822,-0.400,1
-0.374,5.964,2
-0.307,5.974,2
-0.653,5.399,2
-0.158,6.216,2
-0.485,6.041,2
-1.364,6.397,2
-0.583,5.810,2
-1.121,6.565,2
-1.404,4.944,2
-1.585,5.935,2
0.113,6.051,2
-0.222,6.378,2
-0.244,5.677,2
-0.780,5.126,2
-0.749,6.891,2
-0.725,5.645,2
-0.745,6.051,2
-1.507,5.364,2
-0.883,6.631,2
-1.714,6.241,2
0.407,4.921,2
-1.009,5.272,2
-0.179,5.653,2
-0.607,5.882,2
-1.649,6.132,2
-2.018,5.405,2
-1.097,6.115,2
-0.303,6.286,2
-0.898,6.507,2
-0.836,6.244,2
-1.322,5.359,2
-0.808,5.769,2
-0.842,6.077,2
-0.505,5.760,2
-0.796,5.810,2
-1.085,5.695,2
-1.510,6.645,2
-1.026,6.262,2
-0.651,4.961,2
-0.700,6.201,2
-1.259,5.569,2
-0.027,6.004,2
-0.471,6.692,2
-1.369,6.172,2
-1.448,6.101,2
-0.722,5.949,2
0.178,5.924,2
-1.492,5.586,2
-0.621,5.880,2
-0.662,5.527,2
-1.320,5.868,2
-1.143,6.159,2
-1.057,5.523,2
-1.478,6.562,2
-1.077,6.459,2
-1.276,5.908,2
-1.438,6.629,2
-1.376,5.986,2
-0.766,7.083,2
-0.493,6.009,2
-0.472,6.561,2
-0.693,5.991,2
-0.288,6.355,2
-1.694,6.342,2
-1.208,6.442,2
-0.483,5.872,2
-0.145,5.667,2
-0.231,6.695,2
-0.737,5.513,2
-1.327,5.964,2
-1.539,5.634,2
-0.451,6.306,2
-1.556,5.989,2
-1.943,5.250,2
-0.990,6.120,2
-1.379,6.725,2
-0.746,6.160,2
-0.949,6.058,2
-0.310,6.529,2
-0.586,6.249,2
-0.524,6.332,2
-1.187,6.773,2
-1.907,6.473,2
-0.097,5.784,2
-0.541,6.435,2
-1.231,5.986,2
-0.626,5.645,2
0.040,5.350,2
-1.174,5.480,2
-0.311,6.075,2
-1.074,5.516,2
-0.863,5.468,2
-1.524,5.917,2
-0.612,6.813,2
-0.994,6.466,2
-0.922,6.361,2
-1.317,5.949,2
-1.247,6.730,2
-1.181,6.468,2
-1.110,5.997,2
-1.423,5.373,2
-0.399,6.079,2
-1.559,5.830,2
-0.221,6.168,2
-1.339,5.741,2
-0.667,5.819,2
-1.017,5.896,2
-0.735,5.524,2
-0.669,5.616,2
-0.765,5.695,2
-0.248,6.123,2
-1.213,6.082,2
-0.651,5.764,2
0.300,5.315,2
-0.856,5.230,2
-1.614,6.010,2
-0.161,5.027,2
-1.184,5.939,2
-1.146,6.348,2
0.236,6.442,2
-1.282,6.402,2
-1.367,6.802,2
-1.192,6.023,2
-1.110,6.187,2
-1.244,6.630,2
-1.009,5.618,2
-1.110,6.480,2
-1.017,5.807,2
-0.443,6.354,2
-0.108,6.870,2
-1.491,6.127,2
-1.388,6.592,2
-1.159,6.013,2
-0.239,6.357,2
-1.233,6.833,2
-0.336,5.581,2
-0.773,6.394,2
0.164,5.356,2
-0.267,6.072,2
-1.240,6.278,2
-0.628,6.497,2
-2.167,5.006,2
-0.439,5.610,2
-1.069,6.487,2
-0.448,6.403,2
-0.724,6.712,2
-1.569,7.066,2
-0.855,6.926,2
-1.537,6.267,2
-0.788,6.236,2
-1.153,6.732,2
-1.019,6.457,2
-1.588,6.525,2
-1.372,5.925,2
-1.143,5.038,2
-0.227,6.431,2
-0.867,5.812,2
-1.087,6.657,2
-0.201,5.871,2
-0.529,6.221,2
-0.800,5.344,2
-0.890,6.800,2
-0.681,6.069,2
-1.071,4.918,2
-1.234,5.916,2
-1.421,6.430,2
