x,y,class
19.550,7.050,5
19.050,7.450,5
18.350,7.600,5
17.850,7.300,5
18.300,7.100,5
18.950,6.850,5
19.600,6.250,5
20.150,6.450,5
18.800,6.250,5
18.350,6.550,5
17.650,6.550,5
17.250,6.900,5
17.950,6.200,5
17.450,9.850,6
17.200,9.250,6
17.000,9.600,6
17.000,10.050,6
16.450,10.100,6
16.500,9.800,6
16.600,9.450,6
16.600,9.050,6
15.900,9.000,6
16.050,9.350,6
16.050,9.650,6
15.850,9.950,6
15.350,9.900,6
15.600,9.450,6
15.300,9.150,6
15.100,9.550,6
